ranker,player,,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
48,Scott Brooks,Scott Brooks,PG,27,HOU,HOU,82,1516,14.1,.584,.257,.351,1.8,5.4,3.7,22.6,2.6,0.1,13.9,15.0,,2.9,1.7,4.6,.145,,-0.4,1.2,0.7,1.0
49,Chucky Brown,Chucky Brown,SF,24,NJN,NJN,77,1186,11.2,.523,.015,.296,8.1,13.3,10.7,6.2,0.8,1.3,13.0,15.2,,0.9,1.3,2.2,.088,,-1.9,-0.2,-2.1,0.0
50,Dee Brown,Dee Brown,PG,24,BOS,BOS,80,2254,17.2,.541,.117,.345,2.3,10.0,6.2,28.1,3.1,0.9,14.4,18.2,,3.6,2.7,6.4,.135,,1.1,1.9,3.0,2.8
51,Mike Brown,Mike Brown,C,29,UTA,UTA,82,1551,9.4,.483,.002,.401,11.2,17.3,14.4,5.6,1.0,1.0,16.5,16.0,,-0.1,1.6,1.5,.047,,-3.3,-1.0,-4.3,-0.9
52,Randy Brown,Randy Brown,PG,24,SAC,SAC,75,1726,11.3,.511,.012,.323,4.6,9.2,6.8,15.8,3.0,1.2,17.8,15.9,,0.2,1.7,1.9,.052,,-2.6,1.3,-1.3,0.3
53,Mark Bryant,Mark Bryant,C,27,POR,POR,80,1396,11.2,.547,.003,.400,10.0,15.5,12.7,4.1,1.3,1.0,13.0,14.7,,1.5,1.8,3.2,.111,,-2.9,-0.1,-3.0,-0.3
54,Jud Buechler,Jud Buechler,SF,24,GSW,GSW,70,1287,11.5,.495,.146,.216,7.0,9.9,8.5,9.9,1.8,0.9,11.1,15.7,,1.0,0.8,1.8,.067,,-0.8,-0.3,-1.0,0.3
55,Matt Bullard,Matt Bullard,PF,25,HOU,HOU,79,1356,13.6,.546,.492,.150,5.9,12.3,9.3,12.1,1.1,0.5,9.8,19.0,,1.9,1.4,3.4,.119,,1.2,-0.7,0.5,0.8
56,Willie Burton,Willie Burton,SF,24,MIA,MIA,26,451,10.3,.518,.106,.901,5.5,12.5,8.9,5.4,1.5,2.4,20.3,23.7,,-0.3,0.4,0.1,.012,,-4.1,-0.9,-5.0,-0.3
57,Steve Burtt,Steve Burtt,SG,30,WSB,WSB,4,35,18.5,.477,.115,.385,6.3,3.3,4.8,31.3,2.8,0.0,11.6,41.8,,0.0,0.0,0.0,.011,,1.4,-1.6,-0.2,0.0
