ranker,player,,pos,age,team_id,,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
99,Gian Clavell,Gian Clavell,SG,24,DAL,DAL,7,64,7.4,.530,.833,.111,1.7,10.8,6.1,6.7,1.6,0.0,9.6,14.8,,0.0,0.0,0.1,.042,,-2.7,0.5,-2.2,0.0
100,Antonius Cleveland,Antonius Cleveland,SG,23,TOT,17,123,4.5,.486,.190,.286,2.7,10.2,6.3,2.2,2.8,3.6,22.8,11.1,,-0.2,0.2,0.0,-0.006,,-7.6,2.4,-5.2,-0.1
101,John Collins,John Collins,PF,20,ATL,ATL,74,1785,18.3,.620,.086,.341,11.0,22.8,16.9,8.9,1.3,3.8,14.3,17.9,,3.4,2.0,5.4,.145,,-0.4,0.2,-0.2,0.8
102,Zach Collins,Zach Collins,C,20,POR,POR,66,1045,7.5,.475,.391,.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,,-0.7,1.3,0.6,.030,,-4.5,0.2,-4.3,-0.6
103,Kyle Collinsworth,Kyle Collinsworth,SF,26,DAL,DAL,32,480,10.0,.433,.172,.404,7.2,18.0,12.4,16.4,1.8,1.7,17.1,13.3,,-0.1,0.5,0.5,.046,,-3.6,0.9,-2.6,-0.1
104,Darren Collison,Darren Collison,PG,30,IND,IND,69,2018,18.8,.610,.321,.226,2.1,7.8,5.0,26.4,2.3,0.7,10.9,17.4,,5.8,1.8,7.6,.181,,2.4,0.3,2.7,2.4
105,Nick Collison,Nick Collison,PF,37,OKC,OKC,15,75,13.2,.627,.000,.684,10.0,19.9,14.8,8.2,0.0,0.0,22.1,18.2,,0.1,0.0,0.1,.064,,-2.3,-1.9,-4.2,0.0
106,Mike Conley,Mike Conley,PG,30,MEM,MEM,12,373,15.4,.520,.458,.393,0.0,8.6,4.2,22.2,1.6,0.8,8.4,25.9,,0.4,0.2,0.6,.077,,1.3,-0.8,0.5,0.2
107,Pat Connaughton,Pat Connaughton,SG,25,POR,POR,82,1488,9.3,.539,.538,.113,2.7,9.1,5.9,8.7,0.8,1.2,9.5,13.4,,1.2,1.3,2.5,.080,,-1.7,-0.1,-1.8,0.1
108,Quinn Cook,Quinn Cook,PG,24,GSW,GSW,33,740,12.8,.593,.413,.099,1.6,10.2,6.2,16.6,0.8,0.1,10.8,17.5,,1.1,0.4,1.6,.101,,-0.1,-1.5,-1.6,0.1
109,Charles Cooke,Charles Cooke,SG,23,NOP,NOP,13,38,-5.1,.202,.571,.143,0.0,5.5,2.9,3.2,1.3,0.0,6.3,18.1,,-0.2,0.0,-0.2,-0.239,,-10.4,-4.0,-14.4,-0.1
110,Jack Cooley,Jack Cooley,PF,26,SAC,SAC,7,87,19.7,.566,.000,.704,17.6,21.9,19.6,10.5,0.6,0.0,7.8,19.8,,0.3,0.0,0.3,.182,,0.9,-1.4,-0.6,0.0
111,Matt Costello,Matt Costello,C,24,SAS,SAS,4,32,9.7,.500,.000,.000,3.4,27.9,15.6,8.3,3.2,5.2,20.0,7.0,,0.0,0.1,0.1,.127,,-6.0,5.3,-0.7,0.0
112,DeMarcus Cousins,DeMarcus Cousins,C,27,NOP,NOP,48,1737,22.6,.583,.340,.456,6.8,30.9,19.2,23.0,2.2,3.5,18.9,31.9,,1.5,3.2,4.7,.130,,2.5,2.2,4.7,2.9
113,Robert Covington,Robert Covington,SF,27,PHI,PHI,80,2532,12.9,.563,.658,.163,2.4,15.5,9.2,8.7,2.6,2.4,12.3,17.2,,1.6,4.5,6.1,.116,,-0.2,1.7,1.5,2.3
114,Allen Crabbe,Allen Crabbe,SG,25,BRK,BRK,75,2197,12.3,.558,.643,.163,1.3,14.4,7.8,8.4,1.0,1.2,8.1,19.0,,1.8,1.4,3.2,.070,,0.0,-0.7,-0.7,0.7
